,event_type,img_id,loc_left,loc_top,time
10549,mouseout,img_5F,385px,480.267px,1634202695.748
10550,mouseout,img_5F,385px,480.267px,1634202695.763
10551,mouseover,img_5F,385px,480.267px,1634202695.749
10552,mouseover,img_5F,385px,480.267px,1634202695.764
10553,mouseout,img_5F,403px,484.267px,1634202695.766
10554,mouseover,img_5F,403px,484.267px,1634202695.767
10555,mouseout,img_5F,403px,484.267px,1634202695.779
10556,mouseout,img_5F,434px,488.267px,1634202695.782
10557,mouseover,img_5F,403px,484.267px,1634202695.78
10558,mouseover,img_5F,434px,488.267px,1634202695.783
